date,time,open,high,low,close,volume
2016-01-23,14:00:00,391.97,392.82,387.95,389.56,81.60525924000011
2016-01-23,15:00:00,389.94,391.14,388.54,389.93,40.88774192000005
2016-01-23,16:00:00,389.9,390.47,389.81,390.47,9.24943085
2016-01-23,17:00:00,390.47,392.81,389.76,392.78,11.730715779999999
2016-01-23,18:00:00,392.78,392.87,391.18,391.18,40.11669328
2016-01-23,19:00:00,391.16,391.57,389.56,391.47,73.44913469
2016-01-23,20:00:00,391.4,391.44,385.0,387.34,99.82570986999998
2016-01-23,21:00:00,387.5,388.72,387.5,388.72,6.385362639999998
2016-01-23,22:00:00,388.83,390.29,388.83,390.28,26.80377892000003
2016-01-23,23:00:00,390.28,390.64,390.01,390.33,22.191291149999998
2016-01-24,00:00:00,390.19,390.19,389.78,389.78,13.12281649
2016-01-24,01:00:00,389.74,389.77,389.07,389.66,5.109156439999998
2016-01-24,02:00:00,389.73,390.09,389.73,390.09,12.765855019999998
2016-01-24,03:00:00,390.08,390.09,390.08,390.08,4.660774149999999
2016-01-24,04:00:00,390.08,390.08,389.16,389.16,6.487094649999998
2016-01-24,05:00:00,389.15,389.15,388.66,388.66,0.93176033
2016-01-24,06:00:00,388.59,401.74,388.59,401.21,223.15811786999987
2016-01-24,07:00:00,401.21,401.23,399.39,400.15,20.569619050000004
2016-01-24,08:00:00,400.16,400.19,399.71,399.71,9.20313169
2016-01-24,09:00:00,399.48,400.4,399.47,400.13,19.870970349999997
2016-01-24,10:00:00,400.13,400.13,395.52,396.95,23.480542090000032
2016-01-24,11:00:00,397.23,402.3,397.23,402.11,138.71411909999995
2016-01-24,12:00:00,402.1,402.1,400.69,401.0,12.890016209999992
2016-01-24,13:00:00,401.2,406.11,400.9,402.04,164.4574875
2016-01-24,14:00:00,402.59,402.59,400.07,402.24,67.60091023
2016-01-24,15:00:00,402.24,404.19,402.24,403.72,61.27835661999997
2016-01-24,16:00:00,403.73,404.74,403.45,404.58,19.426404890000008
2016-01-24,17:00:00,404.58,406.26,403.29,403.29,86.8951805100001
2016-01-24,18:00:00,403.28,403.53,402.71,402.89,42.18113009999999
